,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1639.5,1666.5,1637.5,1664.5,6590500.0,1664.5
1,2017-01-05,1662.0,1662.5,1638.5,1643.0,5614100.0,1643.0
2,2017-01-06,1626.5,1653.0,1623.0,1647.5,5078900.0,1647.5
3,2017-01-10,1643.0,1656.0,1628.0,1629.5,5628800.0,1629.5
4,2017-01-11,1630.0,1638.0,1618.5,1632.5,7295700.0,1632.5
5,2017-01-12,1636.0,1652.0,1628.5,1645.5,5514800.0,1645.5
6,2017-01-13,1649.0,1654.5,1633.5,1646.5,3909100.0,1646.5
7,2017-01-16,1644.0,1658.5,1631.5,1634.0,3715700.0,1634.0
8,2017-01-17,1620.0,1639.5,1614.0,1615.5,6194100.0,1615.5
9,2017-01-18,1610.0,1629.5,1585.5,1623.5,5464000.0,1623.5
10,2017-01-19,1645.0,1652.5,1635.0,1648.5,4362100.0,1648.5
11,2017-01-20,1658.0,1698.0,1650.5,1692.0,8853100.0,1692.0
12,2017-01-23,1678.0,1685.5,1662.5,1672.5,4986100.0,1672.5
13,2017-01-24,1674.0,1688.0,1671.5,1677.0,5235700.0,1677.0
14,2017-01-25,1700.0,1708.0,1690.0,1704.5,5428400.0,1704.5
15,2017-01-26,1723.0,1760.0,1722.0,1757.5,8597200.0,1757.5
16,2017-01-27,1764.0,1772.5,1755.5,1766.0,7588300.0,1766.0
17,2017-01-30,1767.5,1768.0,1743.0,1750.5,5103500.0,1750.5
18,2017-01-31,1725.5,1745.0,1719.0,1721.5,6302600.0,1721.5
19,2017-02-01,1705.0,1748.0,1696.5,1742.5,5717900.0,1742.5
20,2017-02-02,1774.0,1802.0,1628.5,1659.5,18506400.0,1659.5
21,2017-02-03,1660.0,1662.0,1601.0,1637.0,12322000.0,1637.0
22,2017-02-06,1637.5,1644.5,1581.5,1609.0,11201700.0,1609.0
23,2017-02-07,1609.0,1621.0,1594.0,1608.5,5759000.0,1608.5
24,2017-02-08,1615.0,1618.5,1600.5,1616.5,5314000.0,1616.5
25,2017-02-09,1600.5,1624.0,1596.0,1617.5,6673300.0,1617.5
26,2017-02-10,1656.0,1680.5,1648.0,1678.0,8549200.0,1678.0
27,2017-02-13,1711.0,1718.0,1683.5,1692.0,6833200.0,1692.0
28,2017-02-14,1705.0,1708.0,1674.0,1676.5,5388000.0,1676.5
29,2017-02-15,1692.0,1713.0,1685.0,1707.0,4799100.0,1707.0
30,2017-02-16,1708.5,1716.0,1691.0,1705.5,3993100.0,1705.5
31,2017-02-17,1691.0,1691.0,1673.0,1679.0,4524100.0,1679.0
32,2017-02-20,1674.5,1685.0,1651.5,1681.0,4278100.0,1681.0
33,2017-02-21,1696.0,1710.0,1683.0,1705.5,4752900.0,1705.5
34,2017-02-22,1714.0,1714.5,1696.5,1701.0,3827900.0,1701.0
35,2017-02-23,1715.0,1715.0,1696.0,1707.0,3697100.0,1707.0
36,2017-02-24,1698.5,1711.0,1686.0,1691.0,4137000.0,1691.0
37,2017-02-27,1651.0,1661.0,1638.5,1651.5,6403400.0,1651.5
38,2017-02-28,1665.0,1669.0,1645.5,1647.5,6272600.0,1647.5
39,2017-03-01,1664.5,1683.5,1652.5,1680.5,5227700.0,1680.5
40,2017-03-02,1706.5,1707.0,1685.5,1690.0,5087800.0,1690.0
41,2017-03-03,1683.5,1689.0,1663.0,1673.0,3932400.0,1673.0
42,2017-03-06,1673.0,1676.0,1655.0,1662.0,3653000.0,1662.0
43,2017-03-07,1655.0,1657.5,1641.5,1653.5,4736600.0,1653.5
44,2017-03-08,1653.0,1659.0,1643.0,1652.0,2815700.0,1652.0
